"","taxa","Population"
"1","AAC_Synergy","check"
"2","Bentley","check"
"3","Conlon","check"
"4","Craft","check"
"5","KWS_Tinka","check"
"6","ND_Genesis","check"
"7","Newdale","check"
"8","Pinnacle","check"
"9","G_10_1","C1G"
"10","G_10_2","C1G"
"11","G_10_3","C1G"
"12","G_10_4","C1G"
"13","G_10_5","C1G"
"14","G_10_6","C1G"
"15","G_10_7","C1G"
"16","G_10_8","C1G"
"17","G_10_9","C1G"
"18","G_11_1","C1G"
"19","G_11_4","C1G"
"20","G_11_5","C1G"
"21","G_11_7","C1G"
"22","G_11_8","C1G"
"23","G_11_9","C1G"
"24","G_12_2","C1G"
"25","G_12_3","C1G"
"26","G_12_7","C1G"
"27","G_12_8","C1G"
"28","G_12_9","C1G"
"29","G_15_1","C1G"
"30","G_15_2","C1G"
"31","G_15_3","C1G"
"32","G_15_4","C1G"
"33","G_15_5","C1G"
"34","G_15_6","C1G"
"35","G_15_7","C1G"
"36","G_15_8","C1G"
"37","G_15_9","C1G"
"38","G_16_3","C1G"
"39","G_16_6","C1G"
"40","G_16_7","C1G"
"41","G_16_9","C1G"
"42","G_29_3","C1G"
"43","G_29_4","C1G"
"44","G_29_5","C1G"
"45","G_29_6","C1G"
"46","G_29_7","C1G"
"47","G_29_8","C1G"
"48","G_29_9","C1G"
"49","G_30_1","C1G"
"50","G_3_1","C1G"
"51","G_31_4","C1G"
"52","G_31_5","C1G"
"53","G_31_6","C1G"
"54","G_31_7","C1G"
"55","G_31_8","C1G"
"56","G_31_9","C1G"
"57","G_3_2","C1G"
"58","G_32_1","C1G"
"59","G_32_10","C1G"
"60","G_32_2","C1G"
"61","G_32_3","C1G"
"62","G_32_4","C1G"
"63","G_32_5","C1G"
"64","G_32_6","C1G"
"65","G_32_7","C1G"
"66","G_32_8","C1G"
"67","G_32_9","C1G"
"68","G_3_3","C1G"
"69","G_33_1","C1G"
"70","G_33_2","C1G"
"71","G_33_3","C1G"
"72","G_35_4","C1G"
"73","G_35_5","C1G"
"74","G_35_6","C1G"
"75","G_35_8","C1G"
"76","G_36_1","C1G"
"77","G_36_10","C1G"
"78","G_36_2","C1G"
"79","G_36_4","C1G"
"80","G_36_6","C1G"
"81","G_39_4","C1G"
"82","G_39_5","C1G"
"83","G_39_7","C1G"
"84","G_39_8","C1G"
"85","G_39_9","C1G"
"86","G_4_2","C1G"
"87","G_4_3","C1G"
"88","G_4_4","C1G"
"89","G_4_5","C1G"
"90","G_4_7","C1G"
"91","G_4_8","C1G"
"92","G_4_9","C1G"
"93","G_5_3","C1G"
"94","G_5_4","C1G"
"95","G_5_5","C1G"
"96","NY18100B_2","C2G"
"97","NY18100B_3","C2G"
"98","NY18100B_4","C2G"
"99","NY18100B_5","C2G"
"100","NY18101B_1","C2G"
"101","NY18101B_2","C2G"
"102","NY18101B_3","C2G"
"103","NY18101B_4","C2G"
"104","NY18101B_5","C2G"
"105","NY18102B_1","C2G"
"106","NY18102B_2","C2G"
"107","NY18102B_3","C2G"
"108","NY18102B_4","C2G"
"109","NY18102B_5","C2G"
"110","NY18102B_6","C2G"
"111","NY18103B_1","C2G"
"112","NY18103B_2","C1G"
"113","NY18103B_3","C2G"
"114","NY18103B_4","C2G"
"115","NY18103B_5","C2G"
"116","NY18103B_6","C2G"
"117","NY18104B_1","C2G"
"118","NY18104B_2","C1G"
"119","NY18104B_3","C2G"
"120","NY18104B_4","C2G"
"121","NY18104B_5","C2G"
"122","NY18105B_1","C2G"
"123","NY18105B_2","C2G"
"124","NY18105B_3","C2G"
"125","NY18105B_4","C2G"
"126","NY18105B_5","C2G"
"127","NY18106B_1","C2G"
"128","NY18106B_2","C2G"
"129","NY18106B_3","C2G"
"130","NY18106B_4","C2G"
"131","NY18106B_5","C2G"
"132","NY18107B_1","C2G"
"133","NY18107B_2","C2G"
"134","NY18107B_3","C2G"
"135","NY18107B_4","C2G"
"136","NY18107B_5","C2G"
"137","NY18108B_1","C2G"
"138","NY18108B_2","C2G"
"139","NY18108B_3","C2G"
"140","NY18108B_4","C2G"
"141","NY18108B_5","C2G"
"142","NY18109B_1","C2G"
"143","NY18109B_2","C2G"
"144","NY18109B_3","C2G"
"145","NY18109B_4","C2G"
"146","NY18109B_5","C2G"
"147","NY18110B_1","C2G"
"148","NY18110B_2","C2G"
"149","NY18110B_3","C2G"
"150","NY18110B_4","C2G"
"151","NY18110B_5","C2G"
